"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"0","","","","","","","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2","","","","","","","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2"
"50","","","","","","","9.49044418334961","9.49044418334961","9.49044418334961","4","4","4","","","","","","","7.008484363555908","7.008484363555908","7.008484363555908","4","4","4","9.128662109375","9.128662109375","9.128662109375","4","4","4","9.56515121459961","9.56515121459961","9.56515121459961","4","4","4","6.997884273529053","6.997884273529053","6.997884273529053","4","4","4"
"100","","","","","","","8.338510513305664","8.338510513305664","8.338510513305664","6","6","6","","","","","","","6.396829605102539","6.396829605102539","6.396829605102539","6","6","6","7.944677352905273","7.944677352905273","7.944677352905273","6","6","6","8.059391975402832","8.059391975402832","8.059391975402832","6","6","6","6.409663200378418","6.409663200378418","6.409663200378418","6","6","6"
"150","","","","","","","7.596870422363281","7.596870422363281","7.596870422363281","8","8","8","","","","","","","5.759705543518066","5.759705543518066","5.759705543518066","8","8","8","7.156269073486328","7.156269073486328","7.156269073486328","8","8","8","7.048842430114746","7.048842430114746","7.048842430114746","8","8","8","5.758970260620117","5.758970260620117","5.758970260620117","8","8","8"
"200","","","","","","","7.474879264831543","7.474879264831543","7.474879264831543","10","10","10","","","","","","","5.774145126342773","5.774145126342773","5.774145126342773","10","10","10","7.008640289306641","7.008640289306641","7.008640289306641","10","10","10","6.796055316925049","6.796055316925049","6.796055316925049","10","10","10","5.779904365539551","5.779904365539551","5.779904365539551","10","10","10"
"250","","","","","","","6.534826755523682","6.534826755523682","6.534826755523682","12","12","12","","","","","","","5.107823371887207","5.107823371887207","5.107823371887207","12","12","12","6.085810661315918","6.085810661315918","6.085810661315918","12","12","12","5.81234884262085","5.81234884262085","5.81234884262085","12","12","12","5.1041436195373535","5.1041436195373535","5.1041436195373535","12","12","12"
"300","","","","","","","6.617488861083984","6.617488861083984","6.617488861083984","14","14","14","","","","","","","5.176036834716797","5.176036834716797","5.176036834716797","14","14","14","6.073354244232178","6.073354244232178","6.073354244232178","14","14","14","5.72865104675293","5.72865104675293","5.72865104675293","14","14","14","5.171133041381836","5.171133041381836","5.171133041381836","14","14","14"
"350","","","","","","","6.049908638000488","6.049908638000488","6.049908638000488","16","16","16","","","","","","","4.777434349060059","4.777434349060059","4.777434349060059","16","16","16","5.507349967956543","5.507349967956543","5.507349967956543","16","16","16","5.186074733734131","5.186074733734131","5.186074733734131","16","16","16","4.795282363891602","4.795282363891602","4.795282363891602","16","16","16"
"400","","","","","","","5.698488712310791","5.698488712310791","5.698488712310791","18","18","18","","","","","","","4.621083736419678","4.621083736419678","4.621083736419678","18","18","18","5.185881614685059","5.185881614685059","5.185881614685059","18","18","18","4.939150333404541","4.939150333404541","4.939150333404541","18","18","18","4.6219868659973145","4.6219868659973145","4.6219868659973145","18","18","18"
"450","","","","","","","5.856957912445068","5.856957912445068","5.856957912445068","20","20","20","","","","","","","4.877933025360107","4.877933025360107","4.877933025360107","20","20","20","5.395583152770996","5.395583152770996","5.395583152770996","20","20","20","5.148649215698242","5.148649215698242","5.148649215698242","20","20","20","4.871901512145996","4.871901512145996","4.871901512145996","20","20","20"
