"iter","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon+adamwcos_inf--lr1.5e-3 - train/loss","muon+adamwcos_inf--lr1.5e-3 - train/loss__MIN","muon+adamwcos_inf--lr1.5e-3 - train/loss__MAX","muon+adamwcos_inf--lr1.5e-3 - _step","muon+adamwcos_inf--lr1.5e-3 - _step__MIN","muon+adamwcos_inf--lr1.5e-3 - _step__MAX","muon+adamwlinear--lr1.5e-3 - train/loss","muon+adamwlinear--lr1.5e-3 - train/loss__MIN","muon+adamwlinear--lr1.5e-3 - train/loss__MAX","muon+adamwlinear--lr1.5e-3 - _step","muon+adamwlinear--lr1.5e-3 - _step__MIN","muon+adamwlinear--lr1.5e-3 - _step__MAX","muon+adamwcos--lr1.5e-3 - train/loss","muon+adamwcos--lr1.5e-3 - train/loss__MIN","muon+adamwcos--lr1.5e-3 - train/loss__MAX","muon+adamwcos--lr1.5e-3 - _step","muon+adamwcos--lr1.5e-3 - _step__MIN","muon+adamwcos--lr1.5e-3 - _step__MAX","muon2000 - train/loss","muon2000 - train/loss__MIN","muon2000 - train/loss__MAX","muon2000 - _step","muon2000 - _step__MIN","muon2000 - _step__MAX"
"0","","","","","","","","","","","","","","","","","","","","","","","","","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2"
"50","","","","","","","","","","","","","","","","","","","","","","","","","7.001490592956543","7.001490592956543","7.001490592956543","4","4","4"
"100","","","","","","","","","","","","","","","","","","","","","","","","","6.403672695159912","6.403672695159912","6.403672695159912","6","6","6"
"150","","","","","","","","","","","","","","","","","","","","","","","","","5.77651309967041","5.77651309967041","5.77651309967041","8","8","8"
"200","","","","","","","","","","","","","","","","","","","","","","","","","5.785273551940918","5.785273551940918","5.785273551940918","10","10","10"
"250","","","","","","","","","","","","","","","","","","","","","","","","","5.104188919067383","5.104188919067383","5.104188919067383","12","12","12"
"300","","","","","","","","","","","","","","","","","","","","","","","","","5.180324554443359","5.180324554443359","5.180324554443359","14","14","14"
"350","","","","","","","","","","","","","","","","","","","","","","","","","4.782798767089844","4.782798767089844","4.782798767089844","16","16","16"
"400","","","","","","","","","","","","","","","","","","","","","","","","","4.6204657554626465","4.6204657554626465","4.6204657554626465","18","18","18"
"450","","","","","","","","","","","","","","","","","","","","","","","","","4.879566192626953","4.879566192626953","4.879566192626953","20","20","20"
"500","","","","","","","","","","","","","","","","","","","","","","","","","4.677188873291016","4.677188873291016","4.677188873291016","22","22","22"
"550","","","","","","","","","","","","","","","","","","","","","","","","","4.595453262329102","4.595453262329102","4.595453262329102","24","24","24"
"600","","","","","","","","","","","","","","","","","","","","","","","","","4.426234245300293","4.426234245300293","4.426234245300293","26","26","26"
"650","","","","","","","","","","","","","","","","","","","","","","","","","4.578388214111328","4.578388214111328","4.578388214111328","28","28","28"
"700","","","","","","","","","","","","","","","","","","","","","","","","","4.598611831665039","4.598611831665039","4.598611831665039","30","30","30"
"750","","","","","","","","","","","","","","","","","","","","","","","","","4.447072505950928","4.447072505950928","4.447072505950928","32","32","32"
"800","","","","","","","","","","","","","","","","","","","","","","","","","4.365671157836914","4.365671157836914","4.365671157836914","34","34","34"
