"iter","muon+adamwcos_inf--lr5e-5 - train/loss","muon+adamwcos_inf--lr5e-5 - train/loss__MIN","muon+adamwcos_inf--lr5e-5 - train/loss__MAX","muon+adamwcos_inf--lr5e-5 - _step","muon+adamwcos_inf--lr5e-5 - _step__MIN","muon+adamwcos_inf--lr5e-5 - _step__MAX","muon+adamwcos--lr5e-5 - train/loss","muon+adamwcos--lr5e-5 - train/loss__MIN","muon+adamwcos--lr5e-5 - train/loss__MAX","muon+adamwcos--lr5e-5 - _step","muon+adamwcos--lr5e-5 - _step__MIN","muon+adamwcos--lr5e-5 - _step__MAX","muon+adamwlinear--lr5e-5 - train/loss","muon+adamwlinear--lr5e-5 - train/loss__MIN","muon+adamwlinear--lr5e-5 - train/loss__MAX","muon+adamwlinear--lr5e-5 - _step","muon+adamwlinear--lr5e-5 - _step__MIN","muon+adamwlinear--lr5e-5 - _step__MAX","muon+adamw--lr5e-5 - train/loss","muon+adamw--lr5e-5 - train/loss__MIN","muon+adamw--lr5e-5 - train/loss__MAX","muon+adamw--lr5e-5 - _step","muon+adamw--lr5e-5 - _step__MIN","muon+adamw--lr5e-5 - _step__MAX","muon3000 - train/loss","muon3000 - train/loss__MIN","muon3000 - train/loss__MAX","muon3000 - _step","muon3000 - _step__MIN","muon3000 - _step__MAX"
"0","","","","","","","","","","","","","","","","","","","","","","","","","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2"
"50","","","","","","","","","","","","","","","","","","","","","","","","","7.006558895111084","7.006558895111084","7.006558895111084","4","4","4"
"100","","","","","","","","","","","","","","","","","","","","","","","","","6.4217071533203125","6.4217071533203125","6.4217071533203125","6","6","6"
"150","","","","","","","","","","","","","","","","","","","","","","","","","5.765136241912842","5.765136241912842","5.765136241912842","8","8","8"
"200","","","","","","","","","","","","","","","","","","","","","","","","","5.786166191101074","5.786166191101074","5.786166191101074","10","10","10"
"250","","","","","","","","","","","","","","","","","","","","","","","","","5.107865810394287","5.107865810394287","5.107865810394287","12","12","12"
"300","","","","","","","","","","","","","","","","","","","","","","","","","5.175566673278809","5.175566673278809","5.175566673278809","14","14","14"
"350","","","","","","","","","","","","","","","","","","","","","","","","","4.760242462158203","4.760242462158203","4.760242462158203","16","16","16"
"400","","","","","","","","","","","","","","","","","","","","","","","","","4.628418922424316","4.628418922424316","4.628418922424316","18","18","18"
"450","","","","","","","","","","","","","","","","","","","","","","","","","4.8870391845703125","4.8870391845703125","4.8870391845703125","20","20","20"
"500","","","","","","","","","","","","","","","","","","","","","","","","","4.6831512451171875","4.6831512451171875","4.6831512451171875","22","22","22"
"550","","","","","","","","","","","","","","","","","","","","","","","","","4.595456123352051","4.595456123352051","4.595456123352051","24","24","24"
"600","","","","","","","","","","","","","","","","","","","","","","","","","4.426610469818115","4.426610469818115","4.426610469818115","26","26","26"
"650","","","","","","","","","","","","","","","","","","","","","","","","","4.583827018737793","4.583827018737793","4.583827018737793","28","28","28"
"700","","","","","","","","","","","","","","","","","","","","","","","","","4.587127685546875","4.587127685546875","4.587127685546875","30","30","30"
"750","","","","","","","","","","","","","","","","","","","","","","","","","4.465919494628906","4.465919494628906","4.465919494628906","32","32","32"
"800","","","","","","","","","","","","","","","","","","","","","","","","","4.379677772521973","4.379677772521973","4.379677772521973","34","34","34"
"850","","","","","","","","","","","","","","","","","","","","","","","","","4.198178291320801","4.198178291320801","4.198178291320801","36","36","36"
"900","","","","","","","","","","","","","","","","","","","","","","","","","4.083242416381836","4.083242416381836","4.083242416381836","38","38","38"
"950","","","","","","","","","","","","","","","","","","","","","","","","","3.99965763092041","3.99965763092041","3.99965763092041","40","40","40"
"1000","","","","","","","","","","","","","","","","","","","","","","","","","4.0204362869262695","4.0204362869262695","4.0204362869262695","42","42","42"
"1050","","","","","","","","","","","","","","","","","","","","","","","","","4.1012187004089355","4.1012187004089355","4.1012187004089355","44","44","44"
"1100","","","","","","","","","","","","","","","","","","","","","","","","","3.94162917137146","3.94162917137146","3.94162917137146","46","46","46"
"1150","","","","","","","","","","","","","","","","","","","","","","","","","3.9564905166625977","3.9564905166625977","3.9564905166625977","48","48","48"
"1200","","","","","","","","","","","","","","","","","","","","","","","","","4.019318580627441","4.019318580627441","4.019318580627441","50","50","50"
"1250","","","","","","","","","","","","","","","","","","","","","","","","","4.1603522300720215","4.1603522300720215","4.1603522300720215","52","52","52"
"1300","","","","","","","","","","","","","","","","","","","","","","","","","4.01645565032959","4.01645565032959","4.01645565032959","54","54","54"
"1350","","","","","","","","","","","","","","","","","","","","","","","","","3.946655035018921","3.946655035018921","3.946655035018921","56","56","56"
"1400","","","","","","","","","","","","","","","","","","","","","","","","","3.9440107345581055","3.9440107345581055","3.9440107345581055","58","58","58"
"1450","","","","","","","","","","","","","","","","","","","","","","","","","3.9089407920837402","3.9089407920837402","3.9089407920837402","60","60","60"
"1500","","","","","","","","","","","","","","","","","","","","","","","","","3.6464273929595947","3.6464273929595947","3.6464273929595947","62","62","62"
"1550","","","","","","","","","","","","","","","","","","","","","","","","","3.687131881713867","3.687131881713867","3.687131881713867","64","64","64"
