"iter","muon+adamwcos--lr8e-4 - train/loss","muon+adamwcos--lr8e-4 - train/loss__MIN","muon+adamwcos--lr8e-4 - train/loss__MAX","muon+adamwcos--lr8e-4 - _step","muon+adamwcos--lr8e-4 - _step__MIN","muon+adamwcos--lr8e-4 - _step__MAX","muon+adamwcos_inf--lr8e-4 - train/loss","muon+adamwcos_inf--lr8e-4 - train/loss__MIN","muon+adamwcos_inf--lr8e-4 - train/loss__MAX","muon+adamwcos_inf--lr8e-4 - _step","muon+adamwcos_inf--lr8e-4 - _step__MIN","muon+adamwcos_inf--lr8e-4 - _step__MAX","muon+adamwlinear--lr8e-4 - train/loss","muon+adamwlinear--lr8e-4 - train/loss__MIN","muon+adamwlinear--lr8e-4 - train/loss__MAX","muon+adamwlinear--lr8e-4 - _step","muon+adamwlinear--lr8e-4 - _step__MIN","muon+adamwlinear--lr8e-4 - _step__MAX","muon+adamw--lr8e-4 - train/loss","muon+adamw--lr8e-4 - train/loss__MIN","muon+adamw--lr8e-4 - train/loss__MAX","muon+adamw--lr8e-4 - _step","muon+adamw--lr8e-4 - _step__MIN","muon+adamw--lr8e-4 - _step__MAX","muon800 - train/loss","muon800 - train/loss__MIN","muon800 - train/loss__MAX","muon800 - _step","muon800 - _step__MIN","muon800 - _step__MAX"
"0","","","","","","","","","","","","","","","","","","","","","","","","","10.919052124023438","10.919052124023438","10.919052124023438","2","2","2"
"50","","","","","","","","","","","","","","","","","","","","","","","","","7.004007339477539","7.004007339477539","7.004007339477539","4","4","4"
"100","","","","","","","","","","","","","","","","","","","","","","","","","6.401798248291016","6.401798248291016","6.401798248291016","6","6","6"
"150","","","","","","","","","","","","","","","","","","","","","","","","","5.768926620483398","5.768926620483398","5.768926620483398","8","8","8"
"200","","","","","","","","","","","","","","","","","","","","","","","","","5.782843112945557","5.782843112945557","5.782843112945557","10","10","10"
"250","","","","","","","","","","","","","","","","","","","","","","","","","5.106190204620361","5.106190204620361","5.106190204620361","12","12","12"
"300","","","","","","","","","","","","","","","","","","","","","","","","","5.181884765625","5.181884765625","5.181884765625","14","14","14"
"350","","","","","","","","","","","","","","","","","","","","","","","","","4.819310188293457","4.819310188293457","4.819310188293457","16","16","16"
"400","","","","","","","","","","","","","","","","","","","","","","","","","4.611902236938477","4.611902236938477","4.611902236938477","18","18","18"
"450","","","","","","","","","","","","","","","","","","","","","","","","","4.8716325759887695","4.8716325759887695","4.8716325759887695","20","20","20"
"500","","","","","","","","","","","","","","","","","","","","","","","","","4.680270195007324","4.680270195007324","4.680270195007324","22","22","22"
"550","","","","","","","","","","","","","","","","","","","","","","","","","4.590185165405273","4.590185165405273","4.590185165405273","24","24","24"
"600","","","","","","","","","","","","","","","","","","","","","","","","","4.419737815856934","4.419737815856934","4.419737815856934","26","26","26"
"650","","","","","","","","","","","","","","","","","","","","","","","","","4.572835922241211","4.572835922241211","4.572835922241211","28","28","28"
"700","","","","","","","","","","","","","","","","","","","","","","","","","4.592811584472656","4.592811584472656","4.592811584472656","30","30","30"
"750","","","","","","","","","","","","","","","","","","","","","","","","","4.438228607177734","4.438228607177734","4.438228607177734","32","32","32"
"800","4.224002838134766","4.224002838134766","4.224002838134766","3","3","3","4.224002838134766","4.224002838134766","4.224002838134766","3","3","3","4.224002838134766","4.224002838134766","4.224002838134766","3","3","3","4.224002838134766","4.224002838134766","4.224002838134766","3","3","3","4.224002838134766","4.224002838134766","4.224002838134766","34","34","34"
"850","","","","","","","4.145878791809082","4.145878791809082","4.145878791809082","5","5","5","","","","","","","","","","","","","","","","","",""
